,test_day,model,hour,feature,importance,importance_type,importance_std
169,2020-10-04 09:00:00,Neural Network,9,Wind Offshore Production FC [MWh],0.018648996028451548,permutation_importance_train,0.0021957286821660317
170,2020-10-04 09:00:00,Neural Network,9,Wind Onshore Production FC [MWh],0.0755233483134216,permutation_importance_train,0.0047886115739994815
171,2020-10-04 09:00:00,Neural Network,9,Photovoltaik Production FC [MWh],0.06919681370008399,permutation_importance_train,0.0033816833076274044
172,2020-10-04 09:00:00,Neural Network,9,Other Production FC [MWh],0.06194880462463383,permutation_importance_train,0.004947374263377796
173,2020-10-04 09:00:00,Neural Network,9,Day Ahead Price [EUR/MWh],0.6447745317842004,permutation_importance_train,0.012414253579352417
174,2020-10-04 09:00:00,Neural Network,9,German_holiday,0.008772438078958267,permutation_importance_train,0.0016825108623870358
175,2020-10-04 09:00:00,Neural Network,9,Luxembourg_holiday,0.010307783050496958,permutation_importance_train,0.002340974096612486
176,2020-10-04 09:00:00,Neural Network,9,weekday,0.024391723084755363,permutation_importance_train,0.004341301956312892
177,2020-10-04 09:00:00,Neural Network,9,hour,0.0,permutation_importance_train,0.0
178,2020-10-04 09:00:00,Neural Network,9,month,0.09684714896882783,permutation_importance_train,0.005869424171748417
179,2020-10-04 09:00:00,Neural Network,9,year,0.04508520605385531,permutation_importance_train,0.004542588361689478
180,2020-10-04 09:00:00,Naive,9,Total Load FC [MWh],,not_applicable,
181,2020-10-04 09:00:00,Naive,9,Wind Offshore Production FC [MWh],,not_applicable,
182,2020-10-04 09:00:00,Naive,9,Wind Onshore Production FC [MWh],,not_applicable,
183,2020-10-04 09:00:00,Naive,9,Photovoltaik Production FC [MWh],,not_applicable,
184,2020-10-04 09:00:00,Naive,9,Other Production FC [MWh],,not_applicable,
185,2020-10-04 09:00:00,Naive,9,Day Ahead Price [EUR/MWh],,not_applicable,
186,2020-10-04 09:00:00,Naive,9,German_holiday,,not_applicable,
187,2020-10-04 09:00:00,Naive,9,Luxembourg_holiday,,not_applicable,
188,2020-10-04 09:00:00,Naive,9,weekday,,not_applicable,
189,2020-10-04 09:00:00,Naive,9,hour,,not_applicable,
190,2020-10-04 09:00:00,Naive,9,month,,not_applicable,
191,2020-10-04 09:00:00,Naive,9,year,,not_applicable,
192,2020-10-05 09:00:00,Decision Tree,9,Total Load FC [MWh],0.0,tree_feature_importance,
193,2020-10-05 09:00:00,Decision Tree,9,Wind Offshore Production FC [MWh],0.0,tree_feature_importance,
194,2020-10-05 09:00:00,Decision Tree,9,Wind Onshore Production FC [MWh],0.0,tree_feature_importance,
195,2020-10-05 09:00:00,Decision Tree,9,Photovoltaik Production FC [MWh],0.0,tree_feature_importance,
196,2020-10-05 09:00:00,Decision Tree,9,Other Production FC [MWh],3.141164899274264e-06,tree_feature_importance,
197,2020-10-05 09:00:00,Decision Tree,9,Day Ahead Price [EUR/MWh],0.9999968588351008,tree_feature_importance,
198,2020-10-05 09:00:00,Decision Tree,9,German_holiday,0.0,tree_feature_importance,
199,2020-10-05 09:00:00,Decision Tree,9,Luxembourg_holiday,0.0,tree_feature_importance,
200,2020-10-05 09:00:00,Decision Tree,9,weekday,0.0,tree_feature_importance,
201,2020-10-05 09:00:00,Decision Tree,9,hour,0.0,tree_feature_importance,
202,2020-10-05 09:00:00,Decision Tree,9,month,0.0,tree_feature_importance,
203,2020-10-05 09:00:00,Decision Tree,9,year,0.0,tree_feature_importance,
204,2020-10-05 09:00:00,Random Forest,9,Total Load FC [MWh],0.0001393066434988292,tree_feature_importance,
205,2020-10-05 09:00:00,Random Forest,9,Wind Offshore Production FC [MWh],3.287729467272288e-05,tree_feature_importance,
206,2020-10-05 09:00:00,Random Forest,9,Wind Onshore Production FC [MWh],5.4641988965266085e-05,tree_feature_importance,
207,2020-10-05 09:00:00,Random Forest,9,Photovoltaik Production FC [MWh],7.734995941615298e-05,tree_feature_importance,
208,2020-10-05 09:00:00,Random Forest,9,Other Production FC [MWh],0.00013209864924001923,tree_feature_importance,
209,2020-10-05 09:00:00,Random Forest,9,Day Ahead Price [EUR/MWh],0.9994848780099609,tree_feature_importance,
210,2020-10-05 09:00:00,Random Forest,9,German_holiday,7.56085264107085e-07,tree_feature_importance,
211,2020-10-05 09:00:00,Random Forest,9,Luxembourg_holiday,1.0303983314506955e-06,tree_feature_importance,
212,2020-10-05 09:00:00,Random Forest,9,weekday,3.265402304078693e-05,tree_feature_importance,
213,2020-10-05 09:00:00,Random Forest,9,hour,0.0,tree_feature_importance,
214,2020-10-05 09:00:00,Random Forest,9,month,4.070475468966995e-05,tree_feature_importance,
215,2020-10-05 09:00:00,Random Forest,9,year,3.7021929200903264e-06,tree_feature_importance,
216,2020-10-05 09:00:00,Neural Network,9,Total Load FC [MWh],0.08063799899713646,permutation_importance_train,0.003343551901237233
217,2020-10-05 09:00:00,Neural Network,9,Wind Offshore Production FC [MWh],0.024866871022270472,permutation_importance_train,0.0020459420476424024
218,2020-10-05 09:00:00,Neural Network,9,Wind Onshore Production FC [MWh],0.05934028229462625,permutation_importance_train,0.004697568457498943
219,2020-10-05 09:00:00,Neural Network,9,Photovoltaik Production FC [MWh],0.06401407449738963,permutation_importance_train,0.003891803743102549
220,2020-10-05 09:00:00,Neural Network,9,Other Production FC [MWh],0.05870108437828954,permutation_importance_train,0.003936301192940083
221,2020-10-05 09:00:00,Neural Network,9,Day Ahead Price [EUR/MWh],0.7487428035810947,permutation_importance_train,0.01633715673419949
222,2020-10-05 09:00:00,Neural Network,9,German_holiday,0.009011167353606329,permutation_importance_train,0.0019227650773881203
223,2020-10-05 09:00:00,Neural Network,9,Luxembourg_holiday,0.015879672075375145,permutation_importance_train,0.0025171624408786117
224,2020-10-05 09:00:00,Neural Network,9,weekday,0.02452289231396846,permutation_importance_train,0.002421106639301729
225,2020-10-05 09:00:00,Neural Network,9,hour,0.0,permutation_importance_train,0.0
226,2020-10-05 09:00:00,Neural Network,9,month,0.09245225999919275,permutation_importance_train,0.00786451179194278
227,2020-10-05 09:00:00,Neural Network,9,year,0.054666558571193846,permutation_importance_train,0.00339484550302407
228,2020-10-05 09:00:00,Naive,9,Total Load FC [MWh],,not_applicable,
229,2020-10-05 09:00:00,Naive,9,Wind Offshore Production FC [MWh],,not_applicable,
230,2020-10-05 09:00:00,Naive,9,Wind Onshore Production FC [MWh],,not_applicable,
231,2020-10-05 09:00:00,Naive,9,Photovoltaik Production FC [MWh],,not_applicable,
232,2020-10-05 09:00:00,Naive,9,Other Production FC [MWh],,not_applicable,
233,2020-10-05 09:00:00,Naive,9,Day Ahead Price [EUR/MWh],,not_applicable,
234,2020-10-05 09:00:00,Naive,9,German_holiday,,not_applicable,
235,2020-10-05 09:00:00,Naive,9,Luxembourg_holiday,,not_applicable,
236,2020-10-05 09:00:00,Naive,9,weekday,,not_applicable,
237,2020-10-05 09:00:00,Naive,9,hour,,not_applicable,
238,2020-10-05 09:00:00,Naive,9,month,,not_applicable,
239,2020-10-05 09:00:00,Naive,9,year,,not_applicable,
240,2020-10-06 09:00:00,Decision Tree,9,Total Load FC [MWh],0.0,tree_feature_importance,
241,2020-10-06 09:00:00,Decision Tree,9,Wind Offshore Production FC [MWh],0.0,tree_feature_importance,
242,2020-10-06 09:00:00,Decision Tree,9,Wind Onshore Production FC [MWh],0.0,tree_feature_importance,
243,2020-10-06 09:00:00,Decision Tree,9,Photovoltaik Production FC [MWh],0.0,tree_feature_importance,
244,2020-10-06 09:00:00,Decision Tree,9,Other Production FC [MWh],3.1377113933481112e-06,tree_feature_importance,
245,2020-10-06 09:00:00,Decision Tree,9,Day Ahead Price [EUR/MWh],0.9999968622886067,tree_feature_importance,
246,2020-10-06 09:00:00,Decision Tree,9,German_holiday,0.0,tree_feature_importance,
247,2020-10-06 09:00:00,Decision Tree,9,Luxembourg_holiday,0.0,tree_feature_importance,
248,2020-10-06 09:00:00,Decision Tree,9,weekday,0.0,tree_feature_importance,
249,2020-10-06 09:00:00,Decision Tree,9,hour,0.0,tree_feature_importance,
250,2020-10-06 09:00:00,Decision Tree,9,month,0.0,tree_feature_importance,
251,2020-10-06 09:00:00,Decision Tree,9,year,0.0,tree_feature_importance,
252,2020-10-06 09:00:00,Random Forest,9,Total Load FC [MWh],8.352373286772479e-05,tree_feature_importance,
253,2020-10-06 09:00:00,Random Forest,9,Wind Offshore Production FC [MWh],5.2618889724054316e-05,tree_feature_importance,
254,2020-10-06 09:00:00,Random Forest,9,Wind Onshore Production FC [MWh],9.832434027502456e-05,tree_feature_importance,
255,2020-10-06 09:00:00,Random Forest,9,Photovoltaik Production FC [MWh],5.835170283433907e-05,tree_feature_importance,
256,2020-10-06 09:00:00,Random Forest,9,Other Production FC [MWh],0.00010682730397209206,tree_feature_importance,
257,2020-10-06 09:00:00,Random Forest,9,Day Ahead Price [EUR/MWh],0.9995009465929637,tree_feature_importance,
258,2020-10-06 09:00:00,Random Forest,9,German_holiday,1.4253672498094112e-06,tree_feature_importance,
259,2020-10-06 09:00:00,Random Forest,9,Luxembourg_holiday,1.1349277121440213e-06,tree_feature_importance,
260,2020-10-06 09:00:00,Random Forest,9,weekday,3.605486667732283e-05,tree_feature_importance,
261,2020-10-06 09:00:00,Random Forest,9,hour,0.0,tree_feature_importance,
262,2020-10-06 09:00:00,Random Forest,9,month,5.678098310705371e-05,tree_feature_importance,
263,2020-10-06 09:00:00,Random Forest,9,year,4.01129261673318e-06,tree_feature_importance,
264,2020-10-06 09:00:00,Neural Network,9,Total Load FC [MWh],0.12086310877128688,permutation_importance_train,0.005727044388200906
265,2020-10-06 09:00:00,Neural Network,9,Wind Offshore Production FC [MWh],0.02489809333830333,permutation_importance_train,0.003128670684857073
266,2020-10-06 09:00:00,Neural Network,9,Wind Onshore Production FC [MWh],0.07721744036128289,permutation_importance_train,0.0030197808685297417
267,2020-10-06 09:00:00,Neural Network,9,Photovoltaik Production FC [MWh],0.07112928108125378,permutation_importance_train,0.004787397174681585
268,2020-10-06 09:00:00,Neural Network,9,Other Production FC [MWh],0.05739378734832462,permutation_importance_train,0.00440272985533911
269,2020-10-06 09:00:00,Neural Network,9,Day Ahead Price [EUR/MWh],0.6385660730031999,permutation_importance_train,0.026126218655535886
270,2020-10-06 09:00:00,Neural Network,9,German_holiday,0.009553425896840254,permutation_importance_train,0.0014656430136879687
271,2020-10-06 09:00:00,Neural Network,9,Luxembourg_holiday,0.012562928433089222,permutation_importance_train,0.001399353566087742
272,2020-10-06 09:00:00,Neural Network,9,weekday,0.026032189613599488,permutation_importance_train,0.0023164361815562464
273,2020-10-06 09:00:00,Neural Network,9,hour,0.0,permutation_importance_train,0.0
274,2020-10-06 09:00:00,Neural Network,9,month,0.09911370617886964,permutation_importance_train,0.006860913448992255
